query_record_id,total_interactions,clicks,cart_additions,purchases,unique_products,purchase_share_percent
77,127,108,19,0,59,0.0
78,16,12,4,0,15,0.0
79,44,35,9,0,44,0.0
80,5,3,2,0,2,0.0
81,1,1,0,0,1,0.0
82,3,3,0,0,3,0.0
83,3,1,2,0,3,0.0
86,2,2,0,0,2,0.0
87,20,18,2,0,18,0.0
88,1,1,0,0,1,0.0
89,3,3,0,0,3,0.0
90,5,4,1,0,4,0.0
91,32,20,8,4,28,12.5
92,31,21,8,2,28,6.45
93,4,4,0,0,2,0.0
95,117,76,40,1,94,0.85
96,1,1,0,0,1,0.0
97,1,1,0,0,1,0.0
99,475,261,196,18,89,3.79
100,2,2,0,0,2,0.0
101,1,1,0,0,1,0.0
102,33,26,4,3,12,9.09
103,36,33,2,1,26,2.78
104,3,3,0,0,3,0.0
105,5,5,0,0,5,0.0
106,3,2,1,0,3,0.0
107,44,33,9,2,28,4.55
108,1,0,0,1,1,100.0
109,1,0,1,0,1,0.0
111,1,0,0,1,1,100.0
112,4,4,0,0,4,0.0
113,3,3,0,0,3,0.0
115,28,23,4,1,23,3.57
116,1,1,0,0,1,0.0
117,3,2,1,0,3,0.0
119,25,8,6,11,10,44.0
120,22,9,8,5,14,22.73
121,2,2,0,0,2,0.0
122,1,1,0,0,1,0.0
123,2,0,1,1,2,50.0
124,2,1,1,0,2,0.0
126,2,2,0,0,2,0.0
127,9,4,4,1,9,11.11
129,41,30,10,1,41,2.44
130,10,8,1,1,9,10.0
131,2,1,1,0,2,0.0
134,51,40,9,2,36,3.92
136,2,1,1,0,2,0.0
139,1,0,1,0,1,0.0
140,1,0,1,0,1,0.0
141,1,0,1,0,1,0.0
143,8,7,1,0,7,0.0
145,1,1,0,0,1,0.0
146,69,46,23,0,17,0.0
147,9,2,4,3,8,33.33
148,3,2,1,0,2,0.0
149,2,1,1,0,2,0.0
151,1,1,0,0,1,0.0
152,2,2,0,0,1,0.0
153,1,1,0,0,1,0.0
154,4,4,0,0,4,0.0
156,1,0,0,1,1,100.0
157,5,1,3,1,5,20.0
158,1,0,1,0,1,0.0
159,1,0,1,0,1,0.0
160,9,8,1,0,8,0.0
161,40,31,8,1,13,2.5
162,1,1,0,0,1,0.0
163,2,2,0,0,2,0.0
164,124,78,26,20,95,16.13
166,1,1,0,0,1,0.0
167,6,6,0,0,6,0.0
168,7,5,1,1,6,14.29
169,3,3,0,0,3,0.0
170,1,0,1,0,1,0.0
171,3,1,1,1,3,33.33
172,1,1,0,0,1,0.0
173,2,1,0,1,2,50.0
174,4,4,0,0,4,0.0
175,1,0,0,1,1,100.0
176,9,8,0,1,8,11.11
177,1,1,0,0,1,0.0
178,3,3,0,0,3,0.0
179,2,1,0,1,2,50.0
180,1,1,0,0,1,0.0
181,23,18,5,0,12,0.0
182,3,1,2,0,3,0.0
183,11,9,2,0,7,0.0
184,1,1,0,0,1,0.0
185,4,2,2,0,4,0.0
186,6,6,0,0,5,0.0
187,9,8,1,0,9,0.0
189,1,0,0,1,1,100.0
190,1,1,0,0,1,0.0
191,50,34,9,7,38,14.0
192,1,1,0,0,1,0.0
193,1,1,0,0,1,0.0
194,1,0,1,0,1,0.0
195,2,1,0,1,2,50.0
196,17,13,4,0,9,0.0
197,4,4,0,0,4,0.0
198,1,1,0,0,1,0.0
200,1,0,1,0,1,0.0
201,8,8,0,0,8,0.0
202,2,2,0,0,2,0.0
203,1,1,0,0,1,0.0
204,1,0,1,0,1,0.0
206,2,1,0,1,2,50.0
207,25,19,6,0,12,0.0
208,2,2,0,0,2,0.0
209,6,2,4,0,4,0.0
210,1,0,1,0,1,0.0
211,3,1,2,0,3,0.0
212,1,1,0,0,1,0.0
213,1,1,0,0,1,0.0
214,64,35,15,14,47,21.88
215,54,25,14,15,49,27.78
216,1,1,0,0,1,0.0
217,1,1,0,0,1,0.0
218,1,1,0,0,1,0.0
220,2,1,1,0,2,0.0
222,1,0,0,1,1,100.0
223,4,2,2,0,4,0.0
224,14,9,5,0,12,0.0
225,1,1,0,0,1,0.0
226,1,1,0,0,1,0.0
227,1,1,0,0,1,0.0
229,2,2,0,0,1,0.0
230,2,2,0,0,2,0.0
231,7,5,2,0,4,0.0
233,23,12,11,0,16,0.0
236,6,3,0,3,6,50.0
237,1,0,1,0,1,0.0
238,8,7,1,0,5,0.0
239,2,1,1,0,2,0.0
240,70,53,17,0,62,0.0
241,5,4,1,0,4,0.0
244,3,2,0,1,3,33.33
245,3,0,3,0,3,0.0
246,1,0,1,0,1,0.0
247,2,0,1,1,2,50.0
248,1,0,1,0,1,0.0
249,2,0,0,2,1,100.0
250,3,2,1,0,3,0.0
251,3,3,0,0,3,0.0
252,2,2,0,0,2,0.0
254,16,8,8,0,7,0.0
256,61,29,32,0,21,0.0
257,4,4,0,0,4,0.0
258,1,0,0,1,1,100.0
259,5,3,2,0,5,0.0
260,3,3,0,0,3,0.0
261,1,0,1,0,1,0.0
263,1,0,0,1,1,100.0
264,4,4,0,0,4,0.0
265,4,4,0,0,3,0.0
266,7,7,0,0,7,0.0
267,12,8,4,0,11,0.0
268,3,1,2,0,3,0.0
269,9,2,5,2,3,22.22
271,59,41,10,8,37,13.56
272,1,0,0,1,1,100.0
274,1,1,0,0,1,0.0
275,7,7,0,0,7,0.0
277,1,1,0,0,1,0.0
278,3,1,2,0,3,0.0
279,2,2,0,0,2,0.0
280,5,4,1,0,5,0.0
281,2,2,0,0,2,0.0
282,3,3,0,0,3,0.0
283,1,0,1,0,1,0.0
284,91,50,18,23,86,25.27
285,2,2,0,0,2,0.0
286,1,1,0,0,1,0.0
287,2,1,1,0,2,0.0
289,2,2,0,0,2,0.0
290,1,1,0,0,1,0.0
291,2,2,0,0,2,0.0
292,1,1,0,0,1,0.0
293,1,0,0,1,1,100.0
294,7,7,0,0,7,0.0
295,1,1,0,0,1,0.0
297,11,9,2,0,11,0.0
298,2,0,2,0,2,0.0
299,1,1,0,0,1,0.0
300,6,5,1,0,6,0.0
301,21,17,4,0,9,0.0
302,5,3,1,1,5,20.0
303,2,1,1,0,1,0.0
304,2,1,1,0,2,0.0
305,210,79,73,58,138,27.62
306,2,2,0,0,2,0.0
308,2,1,1,0,1,0.0
309,36,25,10,1,28,2.78
310,1,1,0,0,1,0.0
311,1,1,0,0,1,0.0
312,1,1,0,0,1,0.0
313,11,2,9,0,6,0.0
314,1,0,1,0,1,0.0
316,15,9,5,1,10,6.67
317,6,5,1,0,4,0.0
318,27,21,6,0,4,0.0
319,4,2,2,0,4,0.0
320,5,4,1,0,5,0.0
321,2,2,0,0,2,0.0
322,1,0,1,0,1,0.0
323,1,1,0,0,1,0.0
324,2,1,0,1,2,50.0
325,3,3,0,0,3,0.0
326,2,2,0,0,2,0.0
327,1,1,0,0,1,0.0
328,2,2,0,0,2,0.0
329,10,8,1,1,9,10.0
331,3,3,0,0,3,0.0
332,43,31,12,0,18,0.0
333,1,1,0,0,1,0.0
334,1,0,1,0,1,0.0
335,1,0,1,0,1,0.0
336,1,1,0,0,1,0.0
337,3,3,0,0,3,0.0
338,1,1,0,0,1,0.0
339,2,0,2,0,2,0.0
340,8,5,2,1,3,12.5
341,5,2,2,1,5,20.0
342,17,10,5,2,13,11.76
343,1,1,0,0,1,0.0
345,17,16,0,1,16,5.88
346,3,2,1,0,3,0.0
348,17,13,2,2,16,11.76
349,2,1,0,1,2,50.0
350,5,2,3,0,3,0.0
351,17,11,4,2,8,11.76
352,5,3,1,1,4,20.0
353,2,2,0,0,2,0.0
354,14,13,1,0,14,0.0
355,1,0,0,1,1,100.0
356,3,1,0,2,3,66.67
357,84,50,20,14,65,16.67
358,29,21,8,0,28,0.0
359,1,0,1,0,1,0.0
360,13,8,5,0,8,0.0
361,1,1,0,0,1,0.0
362,1,1,0,0,1,0.0
364,6,3,3,0,4,0.0
365,2,2,0,0,2,0.0
366,8,6,1,1,3,12.5
367,4,4,0,0,4,0.0
368,3,3,0,0,3,0.0
369,4,2,2,0,4,0.0
370,4,4,0,0,3,0.0
371,1,0,1,0,1,0.0
373,2,2,0,0,2,0.0
374,3,1,1,1,3,33.33
375,2,1,1,0,2,0.0
376,8,7,0,1,8,12.5
377,23,17,4,2,21,8.7
378,23,16,7,0,9,0.0
379,1,1,0,0,1,0.0
380,5,4,0,1,5,20.0
381,12,8,2,2,11,16.67
382,15,11,4,0,13,0.0
383,4,3,0,1,3,25.0
384,3,1,2,0,3,0.0
386,2,2,0,0,2,0.0
387,2,2,0,0,2,0.0
388,1,1,0,0,1,0.0
389,8,8,0,0,8,0.0
390,17,11,2,4,12,23.53
392,35,32,3,0,34,0.0
393,1,1,0,0,1,0.0
394,2,1,1,0,2,0.0
395,1,0,0,1,1,100.0
396,1,1,0,0,1,0.0
397,24,21,2,1,24,4.17
398,38,30,8,0,23,0.0
399,23,12,5,6,15,26.09
400,1,1,0,0,1,0.0
401,3,3,0,0,3,0.0
402,1,0,0,1,1,100.0
403,18,9,8,1,15,5.56
404,11,7,3,1,7,9.09
405,39,19,17,3,33,7.69
406,5,5,0,0,5,0.0
409,8,5,1,2,8,25.0
412,25,8,11,6,13,24.0
413,1,0,1,0,1,0.0
414,7,5,2,0,6,0.0
415,4,2,2,0,4,0.0
416,6,3,2,1,4,16.67
417,15,6,6,3,13,20.0
418,4,2,1,1,4,25.0
419,24,15,7,2,23,8.33
421,6,6,0,0,5,0.0
423,25,19,4,2,22,8.0
424,3,2,1,0,3,0.0
425,1,0,1,0,1,0.0
426,40,27,12,1,33,2.5
427,2,0,2,0,2,0.0
428,1,1,0,0,1,0.0
429,1,0,1,0,1,0.0
430,9,4,4,1,6,11.11
431,7,3,4,0,7,0.0
432,37,22,14,1,13,2.7
433,91,53,23,15,79,16.48
434,1,0,1,0,1,0.0
435,1,1,0,0,1,0.0
436,11,8,1,2,11,18.18
437,1,0,1,0,1,0.0
438,58,39,18,1,31,1.72
439,1,1,0,0,1,0.0
440,5,5,0,0,5,0.0
441,1,0,1,0,1,0.0
442,1,1,0,0,1,0.0
443,5,5,0,0,5,0.0
444,2,1,0,1,2,50.0
445,20,10,6,4,18,20.0
446,1,0,1,0,1,0.0
447,1,1,0,0,1,0.0
448,1,0,1,0,1,0.0
449,3,1,2,0,3,0.0
450,35,27,8,0,21,0.0
451,1,1,0,0,1,0.0
452,66,33,33,0,12,0.0
453,2,2,0,0,2,0.0
454,2,2,0,0,2,0.0
455,1,0,1,0,1,0.0
456,23,23,0,0,23,0.0
457,9,5,1,3,6,33.33
459,4,4,0,0,4,0.0
460,14,11,1,2,14,14.29
461,1,0,1,0,1,0.0
462,5,5,0,0,2,0.0
463,1,0,1,0,1,0.0
464,3,3,0,0,3,0.0
465,5,5,0,0,5,0.0
466,2,1,0,1,2,50.0
467,1,0,1,0,1,0.0
468,10,7,2,1,9,10.0
469,1,0,0,1,1,100.0
470,11,5,6,0,9,0.0
471,204,114,39,51,127,25.0
472,4,4,0,0,4,0.0
473,1,1,0,0,1,0.0
474,1,0,1,0,1,0.0
475,45,18,17,10,42,22.22
476,2,2,0,0,2,0.0
477,1,1,0,0,1,0.0
478,1,1,0,0,1,0.0
479,1,1,0,0,1,0.0
480,3,3,0,0,3,0.0
481,1,1,0,0,1,0.0
482,17,13,4,0,16,0.0
483,2,0,1,1,2,50.0
484,60,42,15,3,49,5.0
485,1,1,0,0,1,0.0
486,1,0,1,0,1,0.0
487,4,4,0,0,4,0.0
488,1,1,0,0,1,0.0
489,1,0,1,0,1,0.0
490,9,2,5,2,9,22.22
492,1,0,1,0,1,0.0
493,1,0,0,1,1,100.0
494,1,1,0,0,1,0.0
495,21,20,1,0,21,0.0
496,23,17,3,3,13,13.04
497,20,14,6,0,20,0.0
498,3,3,0,0,2,0.0
499,26,19,5,2,9,7.69
500,5,3,2,0,5,0.0
501,1,0,0,1,1,100.0
502,2,0,2,0,2,0.0
503,1,1,0,0,1,0.0
504,1,1,0,0,1,0.0
505,56,32,11,13,27,23.21
506,8,2,6,0,8,0.0
507,14,8,4,2,13,14.29
508,1,1,0,0,1,0.0
509,54,47,6,1,45,1.85
510,1,1,0,0,1,0.0
511,15,8,5,2,13,13.33
512,3,3,0,0,3,0.0
513,2,2,0,0,2,0.0
514,2,1,0,1,2,50.0
515,1,1,0,0,1,0.0
517,3,1,1,1,3,33.33
518,2,2,0,0,2,0.0
519,2,0,2,0,2,0.0
520,25,17,8,0,14,0.0
521,2,2,0,0,2,0.0
523,1,0,1,0,1,0.0
524,118,64,38,16,62,13.56
525,2,2,0,0,2,0.0
526,1,0,1,0,1,0.0
528,19,14,4,1,17,5.26
529,2,2,0,0,2,0.0
530,5,1,4,0,5,0.0
531,15,13,1,1,14,6.67
532,3,3,0,0,3,0.0
533,1,1,0,0,1,0.0
534,5,2,2,1,5,20.0
535,3,2,1,0,3,0.0
536,4,3,0,1,3,25.0
537,7,6,1,0,6,0.0
538,1,1,0,0,1,0.0
539,1,1,0,0,1,0.0
540,6,6,0,0,5,0.0
541,1,1,0,0,1,0.0
542,139,71,40,28,109,20.14
543,2,0,2,0,1,0.0
544,1,1,0,0,1,0.0
545,40,27,12,1,29,2.5
546,2,2,0,0,2,0.0
547,10,9,1,0,9,0.0
548,4,4,0,0,4,0.0
550,2,2,0,0,2,0.0
551,7,3,4,0,7,0.0
552,1,0,1,0,1,0.0
553,18,6,7,5,18,27.78
555,1,1,0,0,1,0.0
556,13,8,3,2,7,15.38
557,1,0,1,0,1,0.0
558,49,33,15,1,23,2.04
559,8,5,2,1,8,12.5
560,13,8,5,0,11,0.0
561,2,2,0,0,2,0.0
562,3,0,2,1,3,33.33
564,4,2,2,0,3,0.0
565,1,1,0,0,1,0.0
566,2,2,0,0,2,0.0
567,2,2,0,0,2,0.0
568,2,0,0,2,2,100.0
569,1,0,0,1,1,100.0
570,3,3,0,0,3,0.0
571,17,12,2,3,17,17.65
572,5,3,2,0,4,0.0
573,2,2,0,0,2,0.0
574,6,1,2,3,5,50.0
575,1,1,0,0,1,0.0
576,1,0,1,0,1,0.0
577,51,32,16,3,24,5.88
578,3,0,3,0,3,0.0
579,8,8,0,0,8,0.0
580,3,2,1,0,3,0.0
583,8,7,1,0,8,0.0
584,1,1,0,0,1,0.0
586,4,4,0,0,4,0.0
587,21,14,7,0,15,0.0
588,14,10,2,2,13,14.29
589,1,1,0,0,1,0.0
590,3,3,0,0,3,0.0
591,5,3,2,0,4,0.0
593,8,2,6,0,7,0.0
594,7,4,3,0,6,0.0
595,7,3,3,1,7,14.29
596,1,1,0,0,1,0.0
597,14,8,6,0,9,0.0
598,1,0,0,1,1,100.0
599,1,1,0,0,1,0.0
601,3,2,1,0,3,0.0
602,3,3,0,0,2,0.0
603,5,2,3,0,5,0.0
604,42,27,3,12,32,28.57
609,1,0,1,0,1,0.0
610,1,1,0,0,1,0.0
612,26,22,4,0,19,0.0
613,2,1,1,0,2,0.0
615,3,1,1,1,3,33.33
616,1,1,0,0,1,0.0
617,7,7,0,0,7,0.0
618,1,1,0,0,1,0.0
619,8,7,1,0,8,0.0
620,2,1,1,0,2,0.0
621,1,1,0,0,1,0.0
622,3,0,3,0,2,0.0
623,1,1,0,0,1,0.0
624,2,2,0,0,2,0.0
625,41,32,9,0,38,0.0
626,13,11,2,0,13,0.0
627,1,1,0,0,1,0.0
628,1,1,0,0,1,0.0
629,4,0,4,0,4,0.0
630,1,1,0,0,1,0.0
631,1,0,1,0,1,0.0
632,1,0,1,0,1,0.0
633,15,5,2,8,13,53.33
634,15,10,2,3,11,20.0
635,1,1,0,0,1,0.0
636,3,3,0,0,3,0.0
637,1,0,1,0,1,0.0
638,4,4,0,0,4,0.0
639,3,3,0,0,3,0.0
640,1,1,0,0,1,0.0
641,3,3,0,0,2,0.0
642,9,4,3,2,9,22.22
643,33,22,6,5,32,15.15
644,7,3,4,0,7,0.0
645,22,18,4,0,17,0.0
372,205,149,55,1,87,0.49
646,3,3,0,0,3,0.0
648,19,13,6,0,8,0.0
649,4,3,1,0,4,0.0
650,1,1,0,0,1,0.0
651,1,1,0,0,1,0.0
653,1,1,0,0,1,0.0
654,1,1,0,0,1,0.0
655,2,2,0,0,2,0.0
656,12,9,2,1,9,8.33
658,3,3,0,0,3,0.0
659,2,2,0,0,2,0.0
662,18,12,6,0,17,0.0
663,3,2,1,0,3,0.0
664,1,1,0,0,1,0.0
665,3,1,2,0,2,0.0
666,17,13,3,1,17,5.88
667,2,2,0,0,2,0.0
668,17,15,2,0,10,0.0
669,4,3,0,1,4,25.0
670,1,0,1,0,1,0.0
671,1,1,0,0,1,0.0
672,17,11,5,1,12,5.88
673,1,0,1,0,1,0.0
674,1,1,0,0,1,0.0
676,1,1,0,0,1,0.0
678,5,5,0,0,5,0.0
680,1,0,1,0,1,0.0
681,13,10,3,0,12,0.0
682,1,0,1,0,1,0.0
683,2,0,1,1,2,50.0
684,5,5,0,0,2,0.0
685,2,1,0,1,1,50.0
686,142,115,26,1,114,0.7
688,2,2,0,0,2,0.0
689,1,0,1,0,1,0.0
661,196,140,55,1,66,0.51
690,18,13,2,3,17,16.67
691,1,1,0,0,1,0.0
692,1,1,0,0,1,0.0
693,2,1,0,1,2,50.0
694,16,9,5,2,12,12.5
695,20,13,2,5,10,25.0
696,23,15,4,4,23,17.39
697,16,15,1,0,12,0.0
699,2,0,2,0,2,0.0
700,164,125,25,14,107,8.54
701,1,1,0,0,1,0.0
702,12,11,1,0,11,0.0
703,3,2,1,0,3,0.0
704,20,18,2,0,18,0.0
706,4,2,2,0,4,0.0
707,1,0,1,0,1,0.0
708,1,1,0,0,1,0.0
709,4,2,1,1,4,25.0
710,2,2,0,0,2,0.0
711,2,1,0,1,1,50.0
712,6,3,2,1,5,16.67
714,1,1,0,0,1,0.0
715,97,72,25,0,37,0.0
716,2,1,0,1,2,50.0
717,1,0,0,1,1,100.0
718,4,3,1,0,4,0.0
719,2,2,0,0,2,0.0
720,4,3,0,1,4,25.0
721,28,14,3,11,18,39.29
722,39,16,6,17,31,43.59
723,243,189,53,1,195,0.41
724,1,0,1,0,1,0.0
725,1,0,0,1,1,100.0
726,9,3,4,2,9,22.22
727,2,2,0,0,2,0.0
728,2,2,0,0,2,0.0
729,2,2,0,0,2,0.0
730,4,1,2,1,3,25.0
731,1,1,0,0,1,0.0
732,14,14,0,0,14,0.0
733,3,2,1,0,3,0.0
734,51,25,13,13,51,25.49
735,2,2,0,0,2,0.0
736,3,2,1,0,3,0.0
737,4,2,1,1,4,25.0
738,33,20,7,6,26,18.18
739,2,2,0,0,2,0.0
740,1,1,0,0,1,0.0
741,18,17,1,0,18,0.0
742,89,55,34,0,73,0.0
743,2,1,1,0,2,0.0
744,4,3,1,0,4,0.0
745,6,4,2,0,6,0.0
746,1,0,1,0,1,0.0
747,1,1,0,0,1,0.0
748,28,21,6,1,21,3.57
749,5,2,2,1,5,20.0
750,4,4,0,0,3,0.0
751,12,12,0,0,12,0.0
752,2,2,0,0,2,0.0
753,7,3,2,2,5,28.57
754,1,1,0,0,1,0.0
755,9,7,2,0,9,0.0
756,2,2,0,0,2,0.0
758,1,0,1,0,1,0.0
759,57,37,17,3,33,5.26
760,19,14,3,2,19,10.53
761,2,2,0,0,2,0.0
763,8,6,1,1,8,12.5
765,16,5,8,3,7,18.75
766,6,6,0,0,6,0.0
767,2,0,2,0,2,0.0
769,13,12,1,0,13,0.0
770,2,1,1,0,2,0.0
771,1,0,0,1,1,100.0
772,2,2,0,0,2,0.0
773,1,1,0,0,1,0.0
774,1,1,0,0,1,0.0
775,11,8,2,1,11,9.09
777,7,5,2,0,7,0.0
778,1,1,0,0,1,0.0
779,1,1,0,0,1,0.0
780,1,1,0,0,1,0.0
781,1,1,0,0,1,0.0
783,6,6,0,0,6,0.0
784,1,1,0,0,1,0.0
786,4,2,2,0,4,0.0
787,3,2,0,1,3,33.33
788,1,1,0,0,1,0.0
789,21,12,4,5,20,23.81
790,39,34,5,0,36,0.0
791,2,1,0,1,2,50.0
792,2,2,0,0,2,0.0
793,19,16,2,1,17,5.26
794,2,1,1,0,2,0.0
795,8,6,2,0,7,0.0
796,3,3,0,0,3,0.0
798,2,1,1,0,2,0.0
799,1,0,1,0,1,0.0
800,2,1,1,0,2,0.0
801,1,1,0,0,1,0.0
802,32,17,10,5,23,15.62
803,3,2,1,0,1,0.0
805,1,0,1,0,1,0.0
806,1,1,0,0,1,0.0
807,2,1,0,1,2,50.0
808,1,1,0,0,1,0.0
809,3,3,0,0,3,0.0
810,5,5,0,0,5,0.0
811,5,5,0,0,5,0.0
813,3,3,0,0,3,0.0
814,34,9,14,11,28,32.35
815,17,10,6,1,16,5.88
816,1,0,0,1,1,100.0
817,6,1,5,0,6,0.0
818,1,1,0,0,1,0.0
819,18,12,6,0,15,0.0
820,1,1,0,0,1,0.0
821,14,12,2,0,5,0.0
822,1,0,1,0,1,0.0
823,3,1,1,1,3,33.33
824,6,4,2,0,6,0.0
825,2,2,0,0,2,0.0
826,5,4,1,0,3,0.0
827,34,20,9,5,32,14.71
828,1,1,0,0,1,0.0
829,7,5,2,0,6,0.0
830,18,13,4,1,13,5.56
831,4,4,0,0,4,0.0
832,6,4,1,1,5,16.67
833,2,2,0,0,2,0.0
834,1,1,0,0,1,0.0
835,1,0,0,1,1,100.0
836,10,5,4,1,10,10.0
837,8,6,2,0,7,0.0
838,4,3,1,0,4,0.0
840,3,2,1,0,3,0.0
841,1,1,0,0,1,0.0
843,69,30,27,12,59,17.39
844,5,1,3,1,5,20.0
845,32,27,4,1,31,3.12
846,1,1,0,0,1,0.0
847,9,7,2,0,7,0.0
848,18,16,2,0,17,0.0
849,22,17,5,0,17,0.0
850,1,1,0,0,1,0.0
851,2,0,2,0,2,0.0
853,1,0,1,0,1,0.0
854,1,0,0,1,1,100.0
856,3,2,1,0,3,0.0
857,5,4,1,0,3,0.0
858,6,6,0,0,6,0.0
859,24,18,6,0,23,0.0
860,1,0,0,1,1,100.0
861,238,171,34,33,170,13.87
862,1,0,1,0,1,0.0
863,23,15,6,2,22,8.7
864,9,6,3,0,8,0.0
866,52,39,12,1,22,1.92
867,2,1,1,0,2,0.0
868,2,1,1,0,2,0.0
869,2,0,2,0,2,0.0
870,1,0,1,0,1,0.0
871,1,0,1,0,1,0.0
872,1,1,0,0,1,0.0
873,83,25,26,32,72,38.55
874,2,1,0,1,2,50.0
875,2,1,1,0,2,0.0
876,3,1,2,0,3,0.0
877,1,0,0,1,1,100.0
878,9,5,4,0,9,0.0
879,5,2,3,0,2,0.0
880,1,0,0,1,1,100.0
881,21,16,2,3,19,14.29
882,2,2,0,0,2,0.0
884,33,25,7,1,29,3.03
885,1,1,0,0,1,0.0
886,1,1,0,0,1,0.0
887,110,84,24,2,75,1.82
888,1,0,1,0,1,0.0
889,1,0,1,0,1,0.0
890,2,2,0,0,2,0.0
891,1,0,1,0,1,0.0
892,2,1,1,0,2,0.0
895,2,2,0,0,2,0.0
896,1,1,0,0,1,0.0
897,2,1,1,0,1,0.0
898,1,1,0,0,1,0.0
899,23,14,7,2,13,8.7
902,1,1,0,0,1,0.0
903,1,1,0,0,1,0.0
904,1,1,0,0,1,0.0
905,3,3,0,0,3,0.0
906,3,1,2,0,2,0.0
907,22,18,4,0,17,0.0
908,2,2,0,0,2,0.0
909,3,3,0,0,2,0.0
910,7,6,1,0,6,0.0
912,17,17,0,0,17,0.0
914,1,1,0,0,1,0.0
915,1,1,0,0,1,0.0
917,9,8,1,0,9,0.0
918,9,6,3,0,8,0.0
920,1,0,1,0,1,0.0
921,1,1,0,0,1,0.0
922,2,2,0,0,2,0.0
923,2,2,0,0,2,0.0
924,20,13,7,0,15,0.0
925,3,1,2,0,3,0.0
926,3,2,0,1,2,33.33
927,1,1,0,0,1,0.0
930,1,1,0,0,1,0.0
931,14,12,2,0,6,0.0
932,7,7,0,0,7,0.0
933,3,3,0,0,3,0.0
934,20,19,1,0,18,0.0
137,241,132,107,2,59,0.83
935,1,0,1,0,1,0.0
936,2,2,0,0,2,0.0
937,3,3,0,0,3,0.0
938,1,1,0,0,1,0.0
939,12,8,4,0,10,0.0
940,3,2,1,0,3,0.0
941,5,4,0,1,5,20.0
942,2,1,1,0,2,0.0
943,1,1,0,0,1,0.0
944,1,1,0,0,1,0.0
945,5,4,0,1,5,20.0
946,6,4,1,1,6,16.67
947,2,1,1,0,2,0.0
948,3,2,1,0,3,0.0
949,12,7,3,2,10,16.67
950,20,10,6,4,17,20.0
951,2,2,0,0,2,0.0
952,33,16,8,9,24,27.27
953,13,12,1,0,13,0.0
954,29,14,9,6,25,20.69
955,34,24,5,5,27,14.71
956,6,2,3,1,4,16.67
957,9,9,0,0,9,0.0
958,76,41,21,14,61,18.42
959,90,41,29,20,61,22.22
961,3,3,0,0,3,0.0
963,2,0,0,2,2,100.0
964,32,22,8,2,28,6.25
965,1,1,0,0,1,0.0
966,10,5,3,2,9,20.0
967,45,23,10,12,36,26.67
968,1,1,0,0,1,0.0
969,47,27,13,7,35,14.89
970,5,4,1,0,4,0.0
972,3,3,0,0,3,0.0
973,1,1,0,0,1,0.0
974,9,8,0,1,9,11.11
975,83,55,22,6,60,7.23
976,1,0,0,1,1,100.0
977,1,1,0,0,1,0.0
978,3,3,0,0,3,0.0
979,19,5,11,3,10,15.79
980,10,6,2,2,5,20.0
981,1,0,1,0,1,0.0
982,1,1,0,0,1,0.0
983,7,2,3,2,7,28.57
984,22,14,6,2,14,9.09
985,1,1,0,0,1,0.0
