shop_id,total_interactions,clicks,cart_additions,purchases,unique_products,unique_brands,purchase_share_percent
32711377,7,2,1,4,4,3,57.14
70894182,21,13,7,1,12,2,4.76
86521100,2679,1307,892,480,1511,882,17.92
42471406,10,7,2,1,10,4,10.0
67165461,1,0,1,0,1,1,0.0
96928865,12,9,3,0,5,2,0.0
66461137,2,0,2,0,2,1,0.0
90987205,38,23,9,6,21,1,15.79
25459701,3,3,0,0,2,1,0.0
3368600,4,2,1,1,3,1,25.0
95461190,8,5,3,0,5,2,0.0
96098877,1,1,0,0,1,1,0.0
69323894,15,13,1,1,9,1,6.67
87581245,4,2,1,1,3,1,25.0
86645215,12,10,2,0,7,1,0.0
60264164,3,3,0,0,3,1,0.0
85749012,1,1,0,0,1,1,0.0
75049142,1,1,0,0,1,1,0.0
47131907,3,3,0,0,3,1,0.0
94097913,5,4,1,0,5,1,0.0
17468463,86,65,21,0,81,1,0.0
2115042,1,1,0,0,1,1,0.0
92104132,2,2,0,0,2,2,0.0
28987368,2,1,1,0,2,1,0.0
20660049,2,1,0,1,2,1,50.0
77543883,1,1,0,0,1,1,0.0
69419952,31,20,10,1,5,1,3.23
35612806,2,2,0,0,2,1,0.0
84136199,25,21,3,1,19,1,4.0
12518200,96,80,14,2,70,1,2.08
5444866,3,1,2,0,3,1,0.0
48601437,21,18,3,0,6,1,0.0
17705397,3,3,0,0,3,1,0.0
71949096,4,4,0,0,1,1,0.0
356459,3,3,0,0,3,1,0.0
7436145,1,1,0,0,1,1,0.0
54849424,1,0,1,0,1,1,0.0
25857771,3,2,1,0,3,2,0.0
94260409,372,239,126,7,59,2,1.88
48164678,5,4,1,0,3,1,0.0
19356405,24,18,1,5,20,1,20.83
14892409,1,1,0,0,1,1,0.0
49624939,6,6,0,0,5,1,0.0
71308555,110,70,29,11,65,1,10.0
43383641,3,3,0,0,3,2,0.0
66803780,1281,798,313,170,676,2,13.27
93596649,6,6,0,0,5,1,0.0
38010443,1,1,0,0,1,1,0.0
6224343,6,4,2,0,6,1,0.0
28362789,3,2,1,0,2,1,0.0
14531053,3,3,0,0,3,1,0.0
69667607,1,1,0,0,1,1,0.0
18716623,502,199,303,0,47,1,0.0
36005613,4,3,1,0,4,1,0.0
74912570,1,1,0,0,1,1,0.0
67807737,15,9,6,0,10,1,0.0
9983935,8,6,2,0,8,4,0.0
91840146,1,1,0,0,1,1,0.0
14108061,36,21,7,8,29,2,22.22
5693753,4,1,3,0,3,1,0.0
4665941,701,460,215,26,251,2,3.71
37888972,20,12,8,0,19,1,0.0
35124969,6,5,1,0,3,2,0.0
71789504,5,5,0,0,5,1,0.0
84391869,80,57,23,0,55,2,0.0
13575392,2,2,0,0,1,1,0.0
49854033,14,13,1,0,10,1,0.0
7545657,13,7,6,0,4,1,0.0
31358962,2,1,1,0,2,1,0.0
92783879,1,1,0,0,1,1,0.0
67117050,2,2,0,0,2,1,0.0
40239419,1,1,0,0,1,1,0.0
28051152,2,1,1,0,2,1,0.0
8773531,18,10,5,3,8,1,16.67
68071901,4,2,2,0,3,1,0.0
23164821,1,1,0,0,1,1,0.0
98549446,7,6,1,0,5,1,0.0
66679807,30,23,7,0,18,1,0.0
65277836,1,1,0,0,1,1,0.0
22153756,3,3,0,0,3,2,0.0
34614381,22,20,2,0,17,1,0.0
34836300,3,1,1,1,1,1,33.33
33273027,9,5,4,0,7,1,0.0
84221288,15,8,5,2,3,1,13.33
91239992,23,18,5,0,16,1,0.0
68231385,109,43,39,27,36,1,24.77
66614286,24,18,2,4,8,1,16.67
20248868,74,61,11,2,36,1,2.7
28689897,122,74,35,13,64,1,10.66
61843664,11,9,2,0,5,1,0.0
89774724,250,154,87,9,87,1,3.6
29046429,1,1,0,0,1,1,0.0
40819397,24,11,9,4,15,1,16.67
17633987,35,27,8,0,32,12,0.0
46664297,2,2,0,0,2,1,0.0
23167104,5,4,1,0,3,1,0.0
59294945,21,15,6,0,16,1,0.0
76923113,457,311,119,27,149,1,5.91
48238610,64,48,12,4,34,1,6.25
22221707,2,2,0,0,2,1,0.0
47388096,4,4,0,0,2,1,0.0
7406306,1,1,0,0,1,1,0.0
59026934,3,1,1,1,2,1,33.33
65777843,85,62,22,1,16,1,1.18
82425032,2,0,1,1,1,1,50.0
47734955,10,5,1,4,2,1,40.0
37575692,32,24,3,5,22,1,15.62
47986548,119,86,32,1,27,1,0.84
77304773,2,2,0,0,2,1,0.0
97957065,22,18,4,0,5,1,0.0
37080140,24,20,4,0,14,1,0.0
6882175,119,75,42,2,58,1,1.68
93809423,6,5,1,0,4,1,0.0
23743773,38,26,11,1,21,4,2.63
91207072,11,7,3,1,10,1,9.09
49514816,2,2,0,0,2,1,0.0
33531136,7,4,2,1,6,1,14.29
78606776,62,17,28,17,17,1,27.42
8253372,2,2,0,0,2,1,0.0
74628316,1,1,0,0,1,1,0.0
64303692,6,6,0,0,6,1,0.0
81842356,17,9,7,1,16,1,5.88
30301593,10,6,4,0,8,7,0.0
27309491,126,81,39,6,71,20,4.76
95474419,24,16,8,0,20,5,0.0
61709564,45,38,7,0,32,3,0.0
7231286,19,10,6,3,12,1,15.79
63876276,609,426,169,14,111,2,2.3
31409557,1,1,0,0,1,1,0.0
60172768,4,3,1,0,2,1,0.0
99256881,11,6,4,1,10,1,9.09
45581357,6,5,1,0,6,1,0.0
54905731,1,0,1,0,1,1,0.0
27275224,6,2,3,1,2,1,16.67
77693021,6,2,4,0,3,1,0.0
95471868,130,50,50,30,54,1,23.08
9887371,6,3,3,0,3,1,0.0
36002228,23,7,15,1,4,1,4.35
31215991,14,11,3,0,13,4,0.0
39290100,4,4,0,0,2,1,0.0
10215552,14,13,0,1,10,1,7.14
91956558,1,1,0,0,1,1,0.0
47193227,2,2,0,0,2,1,0.0
91707446,2,1,0,1,2,1,50.0
75181962,3,2,1,0,2,1,0.0
57390337,1,0,1,0,1,1,0.0
35449085,1,0,1,0,1,1,0.0
93013681,30,18,8,4,20,1,13.33
43979908,3,2,1,0,2,1,0.0
45714945,173,105,41,27,92,1,15.61
32179322,13,8,4,1,12,1,7.69
40242185,15,14,1,0,9,1,0.0
71474249,8,6,2,0,6,1,0.0
17311172,26,21,5,0,20,1,0.0
48699537,11,6,2,3,9,1,27.27
50575081,3,3,0,0,3,1,0.0
9920105,4,4,0,0,4,1,0.0
49983710,4,2,2,0,2,1,0.0
83183123,22,18,3,1,12,9,4.55
43519621,11,7,3,1,11,11,9.09
90406789,3,2,1,0,3,2,0.0
29298068,2,1,1,0,2,1,0.0
39641483,1,1,0,0,1,1,0.0
5947992,156,93,49,14,53,1,8.97
62850131,3,3,0,0,3,3,0.0
67395421,5,2,2,1,5,1,20.0
64344562,3,2,1,0,3,1,0.0
25047759,5,2,1,2,5,5,40.0
94192072,7,5,1,1,2,1,14.29
31727803,4,3,0,1,2,1,25.0
70246000,18,16,2,0,5,1,0.0
29877575,1,1,0,0,1,1,0.0
91355778,1,1,0,0,1,1,0.0
23599382,8,8,0,0,8,1,0.0
18369420,5,3,0,2,5,5,40.0
79022781,120,74,27,19,64,1,15.83
14054946,106,71,35,0,27,1,0.0
38534806,5,4,1,0,5,1,0.0
59599021,7,5,2,0,5,1,0.0
98119326,5,4,1,0,2,2,0.0
27261560,39,32,7,0,15,3,0.0
67616275,26,23,3,0,12,1,0.0
24449497,4,4,0,0,4,3,0.0
42561748,123,68,41,14,47,1,11.38
89423532,94,80,13,1,91,9,1.06
86950050,7,7,0,0,6,2,0.0
89377954,13,11,2,0,12,5,0.0
79328758,69,55,14,0,65,11,0.0
91400107,36,20,16,0,18,1,0.0
15025927,31,23,4,4,28,1,12.9
41008863,15,12,3,0,12,2,0.0
63087563,78,53,17,8,52,1,10.26
94463139,29,23,5,1,17,1,3.45
81575443,1,1,0,0,1,1,0.0
21050072,6,4,1,1,4,2,16.67
78874199,141,80,38,23,65,1,16.31
85158795,49,24,16,9,23,1,18.37
22203372,34,26,6,2,21,1,5.88
58503425,43,38,4,1,30,1,2.33
87127359,76,65,10,1,60,1,1.32
56281633,8,3,3,2,6,1,25.0
66003094,2,2,0,0,2,1,0.0
70302442,1,1,0,0,1,1,0.0
14854309,4,4,0,0,4,1,0.0
39668635,10,8,2,0,10,1,0.0
18359387,1,1,0,0,1,1,0.0
76393425,1,1,0,0,1,1,0.0
45548322,15,12,3,0,14,1,0.0
30927418,195,129,62,4,54,1,2.05
53913179,2,0,1,1,1,1,50.0
8110370,2,2,0,0,2,1,0.0
64090362,2,1,0,1,2,1,50.0
23935216,217,146,69,2,93,3,0.92
24631195,2,2,0,0,2,1,0.0
9268930,14,4,8,2,4,1,14.29
63567210,5,4,1,0,4,1,0.0
70186005,1,1,0,0,1,1,0.0
53711795,17,5,11,1,6,1,5.88
44036561,59,45,10,4,25,1,6.78
11880955,15,12,3,0,10,4,0.0
61387172,11,5,6,0,11,9,0.0
6551991,17,10,5,2,8,1,11.76
37783540,14,9,3,2,11,1,14.29
69091158,8,3,3,2,7,1,25.0
40989887,90,65,23,2,46,4,2.22
16833258,3,2,0,1,3,3,33.33
34837157,4,2,1,1,4,1,25.0
80317063,45,36,7,2,16,4,4.44
53724760,39,31,6,2,17,1,5.13
85567547,34,21,9,4,22,1,11.76
54486560,103,75,23,5,102,77,4.85
20366742,1,1,0,0,1,1,0.0
6042007,6,4,2,0,6,1,0.0
36996511,1,1,0,0,1,1,0.0
92175538,30,21,6,3,18,1,10.0
76210686,28,19,5,4,11,1,14.29
15317364,3,3,0,0,2,2,0.0
86992693,3,3,0,0,2,1,0.0
22786158,10,6,4,0,8,1,0.0
84692885,4,4,0,0,3,1,0.0
67790861,132,80,50,2,33,1,1.52
29243147,6,5,1,0,6,1,0.0
44247746,13,11,1,1,10,1,7.69
66889405,1,0,0,1,1,1,100.0
89608328,5,5,0,0,5,1,0.0
16589649,1,0,0,1,1,1,100.0
45313250,1,1,0,0,1,1,0.0
34411905,3,1,2,0,2,1,0.0
69904379,198,171,25,2,119,1,1.01
31440279,8,4,4,0,7,2,0.0
67067028,11,10,1,0,4,1,0.0
54428021,2,2,0,0,2,2,0.0
67374387,15,10,3,2,9,2,13.33
93520430,15,11,2,2,12,1,13.33
78506295,12,6,5,1,10,1,8.33
9960985,29,15,7,7,12,3,24.14
11961027,2,1,1,0,2,2,0.0
12232025,1,0,1,0,1,1,0.0
15926954,3,2,1,0,2,1,0.0
4333619,10,8,0,2,7,1,20.0
56595709,3,2,1,0,3,2,0.0
56491935,134,83,39,12,128,53,8.96
30040824,8,7,1,0,6,3,0.0
98908198,67,44,23,0,36,1,0.0
119726,21,15,3,3,16,2,14.29
3602274,2,1,1,0,2,2,0.0
81847892,1,1,0,0,1,1,0.0
72992548,8,7,1,0,7,3,0.0
90597293,12,7,3,2,6,5,16.67
65150150,4,3,1,0,4,1,0.0
80743604,8,6,1,1,8,1,12.5
60986675,36,25,8,3,35,2,8.33
82324688,1,0,0,1,1,1,100.0
78676369,2,2,0,0,2,1,0.0
37774247,1,1,0,0,1,1,0.0
12712934,1,1,0,0,1,1,0.0
45873709,3,3,0,0,2,1,0.0
27789019,114,73,32,9,86,48,7.89
36051594,6,5,1,0,4,1,0.0
93411188,8,8,0,0,7,1,0.0
73404597,5,5,0,0,5,1,0.0
49882130,1,1,0,0,1,1,0.0
83259322,2,2,0,0,2,1,0.0
70463375,1,1,0,0,1,1,0.0
9405049,10,6,2,2,9,1,20.0
59337493,2,1,1,0,2,1,0.0
35036372,10,6,1,3,4,1,30.0
7870839,3,0,3,0,3,1,0.0
69482949,4,4,0,0,4,3,0.0
91090886,702,336,201,165,413,2,23.5
92954785,5,5,0,0,4,1,0.0
87321216,21,14,5,2,11,1,9.52
83086747,28,19,6,3,12,1,10.71
66714215,39,19,8,12,5,1,30.77
59764473,5,2,2,1,5,1,20.0
17171654,92,48,33,11,72,1,11.96
67343318,2,2,0,0,2,1,0.0
20589691,2,2,0,0,2,1,0.0
52356251,4,4,0,0,4,1,0.0
90414177,1,1,0,0,1,1,0.0
74866702,2,2,0,0,2,1,0.0
67564345,1,1,0,0,1,1,0.0
76748596,171,108,46,17,81,50,9.94
78018481,3,1,2,0,3,1,0.0
63308584,2,1,1,0,2,1,0.0
32085011,20,11,7,2,18,4,10.0
6752870,20,13,4,3,8,1,15.0
65591267,13,11,1,1,2,1,7.69
84242400,11,10,0,1,8,1,9.09
28035509,11,9,2,0,10,1,0.0
78067944,24,22,1,1,16,1,4.17
98525593,2,0,2,0,2,2,0.0
52956089,172,85,47,40,71,1,23.26
1216119,2,2,0,0,1,1,0.0
9548070,38,15,15,8,18,1,21.05
68530523,1,0,1,0,1,1,0.0
96558178,1,1,0,0,1,1,0.0
43114750,8,6,1,1,7,1,12.5
4403828,9,8,0,1,5,1,11.11
60401330,19,15,3,1,6,1,5.26
3314996,40,26,13,1,24,1,2.5
7253095,1,1,0,0,1,1,0.0
23123657,1,1,0,0,1,1,0.0
60662853,2,2,0,0,2,1,0.0
94680702,1,1,0,0,1,1,0.0
7351944,7,7,0,0,5,1,0.0
64313609,2,2,0,0,1,1,0.0
67885773,1,1,0,0,1,1,0.0
8384758,1,1,0,0,1,1,0.0
48777442,3,3,0,0,3,1,0.0
68146436,2,2,0,0,2,1,0.0
82613252,13,10,2,1,12,1,7.69
28662456,2,2,0,0,2,1,0.0
86662060,1,1,0,0,1,1,0.0
99419826,1,1,0,0,1,1,0.0
35244142,5,3,2,0,3,1,0.0
1390895,11,6,4,1,5,1,9.09
13930570,6,2,3,1,4,1,16.67
4095166,23,15,8,0,14,1,0.0
79127424,30,19,11,0,25,2,0.0
85558346,16,9,7,0,10,1,0.0
28138441,14,12,2,0,6,1,0.0
58826614,2,1,1,0,2,1,0.0
47918241,61,44,12,5,42,1,8.2
36311272,2,1,1,0,1,1,0.0
76859315,5,3,1,1,4,3,20.0
3740429,43,17,12,14,12,1,32.56
98697048,41,23,9,9,18,2,21.95
47981605,876,566,286,24,187,1,2.74
85786572,15,12,3,0,5,1,0.0
62771438,1,1,0,0,1,1,0.0
16614975,49,18,22,9,30,1,18.37
75291578,198,124,72,2,79,1,1.01
82543536,12,10,2,0,12,1,0.0
38756513,6,6,0,0,3,1,0.0
55901575,219,153,65,1,61,10,0.46
1701674,2,0,1,1,2,2,50.0
52196659,2,2,0,0,2,1,0.0
74315911,2,1,1,0,2,1,0.0
11794641,2,1,0,1,2,1,50.0
35438295,17,8,8,1,14,12,5.88
13178378,15,12,3,0,13,12,0.0
50880052,6,2,4,0,1,1,0.0
44824810,16,14,1,1,12,1,6.25
18304016,3,1,0,2,2,1,66.67
32823671,2,2,0,0,2,1,0.0
86187854,10,8,2,0,8,2,0.0
82975024,1,1,0,0,1,1,0.0
94258845,1,1,0,0,1,1,0.0
90268844,305,163,110,32,98,1,10.49
46278099,53,37,13,3,25,1,5.66
37684872,105,76,29,0,30,5,0.0
69884250,7,7,0,0,6,1,0.0
71368024,67,50,17,0,3,1,0.0
6246233,38,20,11,7,38,1,18.42
40418520,1,0,1,0,1,1,0.0
47855102,7,7,0,0,7,1,0.0
16924298,2,1,1,0,2,1,0.0
37011260,1,1,0,0,1,1,0.0
33295433,1,1,0,0,1,1,0.0
53889612,33,19,14,0,26,11,0.0
28559330,10,7,2,1,5,2,10.0
62263519,77,28,29,20,43,1,25.97
6067942,2,1,1,0,2,1,0.0
19200254,10,5,5,0,7,1,0.0
97430846,4,4,0,0,4,1,0.0
52026031,13,7,4,2,6,2,15.38
34513859,4,3,1,0,3,1,0.0
43236934,166,95,49,22,45,1,13.25
76242855,53,33,16,4,31,1,7.55
79205602,33,18,10,5,4,1,15.15
12866224,17,13,4,0,7,1,0.0
55643328,8,3,5,0,6,1,0.0
96479249,180,135,40,5,31,1,2.78
5295147,3,3,0,0,3,3,0.0
88732468,1,1,0,0,1,1,0.0
39875529,123,75,44,4,30,1,3.25
46202178,6,3,1,2,5,1,33.33
62339310,14,4,6,4,6,1,28.57
63591417,1,0,1,0,1,1,0.0
92573040,1,0,1,0,1,1,0.0
32274686,9,5,2,2,8,1,22.22
47601403,1,1,0,0,1,1,0.0
33747709,129,82,33,14,53,1,10.85
47799137,7,3,3,1,5,1,14.29
68819633,1,1,0,0,1,1,0.0
17253991,22,15,6,1,4,1,4.55
98634968,3,2,1,0,3,1,0.0
47201493,2,2,0,0,2,1,0.0
94251744,9,8,1,0,8,1,0.0
5696508,3,2,1,0,3,1,0.0
77554233,24,16,7,1,19,1,4.17
32715203,6,4,1,1,5,1,16.67
57504406,4,3,1,0,3,1,0.0
28763902,27,16,6,5,14,1,18.52
66247415,2,0,1,1,2,1,50.0
81941286,4,4,0,0,4,2,0.0
83640789,1,1,0,0,1,1,0.0
95436162,4,3,0,1,4,1,25.0
1816793,8,5,1,2,8,1,25.0
79954800,45,18,16,11,33,1,24.44
129144,16,8,8,0,14,1,0.0
21582930,13,7,3,3,8,1,23.08
45080064,37,17,13,7,22,1,18.92
53693323,16,9,4,3,12,9,18.75
29807335,67,55,12,0,33,2,0.0
27413611,8,7,1,0,7,1,0.0
28509714,72,50,8,14,34,5,19.44
77513273,9,5,4,0,8,1,0.0
44123275,19,16,2,1,17,1,5.26
64991073,10,6,4,0,4,1,0.0
58210062,28,22,4,2,15,1,7.14
38373473,9,6,3,0,4,1,0.0
48045204,2,1,1,0,2,1,0.0
23394210,13,5,8,0,8,1,0.0
67567036,2,0,1,1,2,1,50.0
23337055,1,1,0,0,1,1,0.0
65126183,256,159,65,32,178,1,12.5
92263693,2,2,0,0,2,1,0.0
10159229,21,18,3,0,18,2,0.0
80849012,2,2,0,0,2,2,0.0
80482882,5,5,0,0,4,1,0.0
88583285,15,11,3,1,15,2,6.67
90230575,13,11,2,0,8,1,0.0
61994979,7,5,2,0,6,1,0.0
18090093,25,16,8,1,24,1,4.0
24647768,26,21,5,0,24,2,0.0
99375240,28,22,5,1,11,1,3.57
22924077,10,3,7,0,5,1,0.0
87801116,56,31,17,8,24,1,14.29
52668730,1,1,0,0,1,1,0.0
90992841,15,11,4,0,12,1,0.0
38795689,149,118,24,7,38,1,4.7
57718513,10,9,1,0,9,1,0.0
45354622,3,3,0,0,3,1,0.0
15397875,2,2,0,0,2,1,0.0
16599072,173,85,47,41,88,1,23.7
92480452,5,2,2,1,3,1,20.0
59347238,20,11,7,2,11,1,10.0
25919774,32,19,12,1,16,1,3.12
51213597,3,2,1,0,3,1,0.0
18662031,1,1,0,0,1,1,0.0
43335966,2,2,0,0,2,1,0.0
87042140,3,3,0,0,3,1,0.0
1910572,1,1,0,0,1,1,0.0
81651507,26,16,8,2,25,1,7.69
57440695,4,3,0,1,4,1,25.0
54142645,2,1,1,0,2,1,0.0
19531557,10,8,2,0,5,1,0.0
84097580,35,14,14,7,13,1,20.0
86738093,4,3,1,0,2,1,0.0
86569234,8,3,5,0,5,1,0.0
11963354,10,5,5,0,8,1,0.0
79412358,6,3,2,1,5,4,16.67
78403838,31,14,12,5,27,26,16.13
86711012,34,18,11,5,14,1,14.71
62361004,68,50,17,1,28,1,1.47
27660167,14,9,3,2,11,1,14.29
37980283,7,3,4,0,5,1,0.0
8326288,8,7,1,0,7,1,0.0
84030839,9,8,0,1,9,2,11.11
81568640,35,24,10,1,26,1,2.86
986508,26,22,4,0,20,1,0.0
6623078,4,4,0,0,3,1,0.0
26526370,57,35,13,9,24,1,15.79
66478851,1,1,0,0,1,1,0.0
29574404,2,0,2,0,2,1,0.0
18363599,33,16,16,1,22,1,3.03
48312611,5,2,2,1,5,1,20.0
38512723,5,4,1,0,5,2,0.0
41023524,1,0,1,0,1,1,0.0
42394826,94,60,28,6,33,1,6.38
39915242,38,35,3,0,26,1,0.0
67347001,2,1,0,1,1,1,50.0
43999502,19,15,2,2,14,1,10.53
57075238,60,44,14,2,60,1,3.33
26019968,8,3,4,1,2,1,12.5
84439012,89,62,22,5,25,1,5.62
70541262,16,14,2,0,6,1,0.0
55098858,13,10,3,0,8,1,0.0
53409907,22,11,9,2,18,2,9.09
45955336,9,7,2,0,9,6,0.0
66881314,16,14,1,1,12,1,6.25
98505342,54,40,14,0,42,1,0.0
5987485,1,1,0,0,1,1,0.0
31855422,8,4,3,1,6,1,12.5
76663617,12,7,5,0,8,1,0.0
34737698,5,3,2,0,5,1,0.0
47157825,5,3,2,0,4,1,0.0
98814420,14,6,5,3,8,1,21.43
73370122,197,106,53,38,61,1,19.29
87287437,2,0,1,1,2,1,50.0
55390339,3,3,0,0,1,1,0.0
92560659,6,4,2,0,6,2,0.0
23901016,11,8,3,0,9,1,0.0
22507864,64,42,17,5,46,1,7.81
43249400,3,3,0,0,3,1,0.0
74053158,8,5,3,0,7,2,0.0
52819622,10,7,2,1,10,1,10.0
48837868,5,3,2,0,5,1,0.0
36421704,2,1,1,0,2,1,0.0
27319236,1,0,1,0,1,1,0.0
12359491,5,5,0,0,5,1,0.0
15203022,36,10,11,15,8,1,41.67
21934238,2,2,0,0,2,1,0.0
60678777,16,10,5,1,6,1,6.25
13986658,13,10,3,0,8,1,0.0
71756610,84,58,16,10,45,1,11.9
95853006,34,21,13,0,21,1,0.0
21787646,1,0,1,0,1,1,0.0
2329497,37,31,6,0,12,3,0.0
21241251,35,15,12,8,21,3,22.86
34258047,8,6,2,0,8,2,0.0
19415300,1,1,0,0,1,1,0.0
91885498,2,2,0,0,2,1,0.0
30799657,415,370,45,0,380,61,0.0
14765011,101,81,19,1,64,1,0.99
82057653,1,0,0,1,1,1,100.0
11410206,1,0,1,0,1,1,0.0
63416894,6,4,0,2,4,1,33.33
36744379,34,27,5,2,30,1,5.88
33442335,71,50,19,2,34,1,2.82
31576422,170,85,49,36,98,1,21.18
36698950,3,3,0,0,3,1,0.0
6791122,7,3,3,1,6,1,14.29
49540836,67,37,27,3,63,2,4.48
53003833,8,5,2,1,8,2,12.5
29738535,17,15,2,0,15,5,0.0
67893440,195,82,67,46,69,1,23.59
67867532,7,3,4,0,6,1,0.0
34083090,1,1,0,0,1,1,0.0
24432119,1,1,0,0,1,1,0.0
50395806,1,1,0,0,1,1,0.0
32076602,3,2,1,0,3,1,0.0
96314486,1,1,0,0,1,1,0.0
73821146,6,3,3,0,6,2,0.0
15445305,6,6,0,0,4,1,0.0
47085052,2,2,0,0,2,1,0.0
81016346,2,0,1,1,2,1,50.0
70254080,243,124,68,51,93,1,20.99
88222043,23,19,3,1,23,21,4.35
80782339,82,55,20,7,76,59,8.54
69521010,15,9,4,2,11,7,13.33
27333664,2,1,1,0,2,1,0.0
41698202,6,4,2,0,5,4,0.0
29809213,3,0,3,0,3,2,0.0
63791335,25,17,6,2,12,5,8.0
98770506,3,1,1,1,3,3,33.33
69217949,1,1,0,0,1,1,0.0
26198412,6,1,1,4,6,1,66.67
46348017,1,1,0,0,1,1,0.0
13656155,1,1,0,0,1,1,0.0
512858,1,1,0,0,1,1,0.0
79608371,4,4,0,0,4,1,0.0
47782196,5,4,1,0,5,1,0.0
92093238,5,5,0,0,3,1,0.0
74725732,2,2,0,0,2,1,0.0
64029481,1,1,0,0,1,1,0.0
55934039,2,2,0,0,2,1,0.0
98623188,1,1,0,0,1,1,0.0
34161605,2,0,2,0,1,1,0.0
15264686,2,2,0,0,2,1,0.0
58152278,67,49,12,6,16,1,8.96
12483637,8,6,2,0,7,1,0.0
87929205,2,2,0,0,2,1,0.0
96658697,5,3,1,1,5,2,20.0
70256998,18,16,1,1,11,1,5.56
97351411,1,1,0,0,1,1,0.0
40852916,225,203,22,0,209,58,0.0
2161455,41,33,2,6,25,1,14.63
53945584,157,98,46,13,29,1,8.28
7075344,2,1,1,0,2,1,0.0
7658084,1,0,1,0,1,1,0.0
63323184,2,2,0,0,2,1,0.0
69666977,2,0,1,1,1,1,50.0
44555967,6,2,4,0,5,2,0.0
69609946,14,6,6,2,10,1,14.29
18375363,6,5,1,0,6,1,0.0
28258698,23,18,5,0,13,1,0.0
66550060,11,8,3,0,10,1,0.0
62487102,2,2,0,0,2,1,0.0
17101402,6,3,3,0,6,1,0.0
93173599,17,12,5,0,15,3,0.0
11971065,14,10,4,0,12,1,0.0
58350793,10,6,4,0,8,1,0.0
58950550,7,3,1,3,1,1,42.86
6953585,2,2,0,0,2,2,0.0
71448716,4,3,0,1,1,1,25.0
43711593,1841,1228,515,98,557,2,5.32
50917667,7,7,0,0,6,1,0.0
44827329,219,146,58,15,117,1,6.85
35366483,17,14,2,1,11,1,5.88
30312560,30,17,11,2,22,1,6.67
63329909,1,1,0,0,1,1,0.0
26824317,6,4,1,1,6,6,16.67
96901427,1,1,0,0,1,1,0.0
39721830,2,2,0,0,1,1,0.0
86874064,4,1,2,1,4,1,25.0
45667275,28,25,3,0,17,1,0.0
83941075,3,1,2,0,3,1,0.0
72074782,5,3,1,1,5,4,20.0
58094695,214,121,56,37,117,1,17.29
14684863,2,0,2,0,2,1,0.0
25254582,5,4,1,0,5,1,0.0
1029300,6,4,2,0,6,1,0.0
76995176,1,1,0,0,1,1,0.0
62361481,1,1,0,0,1,1,0.0
87442191,3,0,3,0,3,1,0.0
8921963,3,2,1,0,3,2,0.0
78436345,1,1,0,0,1,1,0.0
65872996,12,9,3,0,9,2,0.0
80747625,11,9,1,1,7,1,9.09
79287563,42,13,16,13,34,1,30.95
78452969,1,1,0,0,1,1,0.0
38734301,121,81,27,13,109,71,10.74
20872168,39,20,16,3,32,15,7.69
94578618,103,77,19,7,96,82,6.8
35359267,31,16,12,3,12,1,9.68
13864622,33,22,6,5,16,1,15.15
48203364,1,1,0,0,1,1,0.0
