category_level_4_id,total_interactions,clicks,cart_additions,purchases,unique_products,purchase_share_percent
41588408,785,441,248,96,521,12.23
5614,19,11,7,1,17,5.26
74164066,60,34,13,13,34,21.67
20462397,43,28,8,7,31,16.28
59947703,364,298,53,13,331,3.57
87040126,37,23,8,6,35,16.22
42942963,96,74,14,8,93,8.33
7929383,1430,966,287,177,1175,12.38
28629983,590,478,91,21,561,3.56
43166208,90,56,34,0,45,0.0
33052312,218,163,53,2,168,0.92
20592324,5,2,3,0,5,0.0
68133621,4,1,3,0,3,0.0
28363226,2165,1374,731,60,1276,2.77
52312469,249,174,73,2,176,0.8
98347200,4,4,0,0,4,0.0
6722499,4,2,2,0,4,0.0
83225405,16,12,4,0,16,0.0
3268258,425,258,118,49,338,11.53
89708737,54,42,11,1,52,1.85
71432040,57,40,11,6,51,10.53
4782287,146,111,24,11,86,7.53
26950971,400,364,36,0,329,0.0
54081259,1,1,0,0,1,0.0
96794330,902,677,192,33,545,3.66
64854232,731,634,87,10,629,1.37
68538086,82,69,8,5,41,6.1
70254035,23,21,1,1,16,4.35
23348861,25,19,6,0,16,0.0
50138306,200,137,53,10,177,5.0
53488743,408,248,134,26,280,6.37
56552421,1761,1142,608,11,672,0.62
41302158,250,177,72,1,219,0.4
49490717,654,517,102,35,591,5.35
85556448,42,31,7,4,14,9.52
26554080,535,362,155,18,280,3.36
97489677,86,62,21,3,81,3.49
53164692,105,81,16,8,84,7.62
54526199,139,78,42,19,79,13.67
61909657,227,122,74,31,183,13.66
75664943,217,151,57,9,53,4.15
39451574,124,100,20,4,121,3.23
39670645,353,183,114,56,230,15.86
36512565,12,7,2,3,12,25.0
86156614,243,182,60,1,180,0.41
64822273,420,298,115,7,279,1.67
66362492,364,275,71,18,350,4.95
89295267,187,155,26,6,169,3.21
21684155,118,81,33,4,110,3.39
18962217,124,65,40,19,77,15.32
53977170,586,274,193,119,401,20.31
85532793,1075,789,215,71,954,6.6
41807301,327,250,66,11,321,3.36
26781070,213,154,54,5,204,2.35
24920771,11,4,6,1,10,9.09
67950286,98,66,25,7,83,7.14
50390528,425,260,119,46,372,10.82
35888204,276,191,78,7,215,2.54
30450451,851,616,182,53,733,6.23
17274425,109,96,13,0,99,0.0
13428762,34,25,8,1,23,2.94
46919769,120,76,24,20,78,16.67
28178755,559,310,175,74,434,13.24
49251719,8,8,0,0,6,0.0
80694214,61,49,8,4,45,6.56
65689788,120,78,21,21,105,17.5
73102412,937,765,129,43,805,4.59
35033444,15,8,4,3,13,20.0
22271273,41,18,18,5,34,12.2
53741505,67,44,18,5,57,7.46
84932676,448,364,65,19,393,4.24
91376826,40,33,7,0,39,0.0
64596584,948,634,299,15,624,1.58
53704463,806,506,210,90,375,11.17
68855741,447,274,105,68,252,15.21
27665132,55,48,7,0,47,0.0
49839459,106,75,24,7,90,6.6
7471793,379,293,82,4,343,1.06
90750795,69,49,19,1,64,1.45
73411641,105,49,36,20,82,19.05
64199980,65,34,16,15,52,23.08
32714450,385,293,72,20,345,5.19
86379184,194,119,56,19,95,9.79
63828130,184,144,36,4,175,2.17
5508393,1,0,0,1,1,100.0
12366543,47,36,7,4,30,8.51
93552265,1129,940,149,40,975,3.54
22645559,187,150,29,8,176,4.28
46935830,386,190,107,89,294,23.06
32130995,2479,1886,433,160,2279,6.45
93675297,712,532,179,1,454,0.14
9658743,185,143,42,0,93,0.0
61422541,661,452,160,49,334,7.41
98305498,1696,1349,340,7,1069,0.41
85210979,139,86,38,15,114,10.79
71707720,134,74,41,19,89,14.18
38603675,151,100,37,14,137,9.27
38050090,357,255,72,30,301,8.4
99233336,387,281,81,25,231,6.46
53372063,1229,1022,193,14,1020,1.14
97419353,124,78,29,17,75,13.71
24396768,508,423,76,9,432,1.77
74735570,13,7,4,2,11,15.38
40371795,109,95,13,1,88,0.92
93757063,91,80,9,2,71,2.2
66552986,181,162,19,0,159,0.0
32377447,187,153,34,0,168,0.0
17694933,65,36,19,10,52,15.38
88279186,795,531,225,39,497,4.91
34681978,216,123,54,39,165,18.06
2341523,36,22,11,3,35,8.33
25024520,35,17,12,6,33,17.14
84415973,18,12,4,2,16,11.11
45358775,146,98,38,10,86,6.85
14778911,334,210,94,30,170,8.98
45793392,205,124,58,23,166,11.22
92153662,394,243,111,40,285,10.15
19183452,281,184,68,29,230,10.32
99556502,492,376,98,18,375,3.66
48911436,223,128,58,37,154,16.59
24092648,374,262,80,32,308,8.56
85995204,26,17,9,0,22,0.0
93962398,307,230,52,25,244,8.14
68353175,10,8,1,1,9,10.0
49880913,293,203,73,17,167,5.8
72976019,70,52,14,4,50,5.71
13964116,255,133,96,26,219,10.2
97279352,448,390,45,13,404,2.9
42200395,88,71,15,2,79,2.27
12388427,19,16,2,1,13,5.26
74251600,315,263,51,1,250,0.32
83879179,206,157,38,11,187,5.34
37163017,18,11,7,0,13,0.0
197642,104,81,18,5,79,4.81
99266476,82,33,31,18,77,21.95
2078714,278,187,88,3,184,1.08
70405601,362,262,75,25,296,6.91
22842186,539,376,131,32,344,5.94
47473296,107,72,23,12,90,11.21
51654533,54,24,20,10,22,18.52
8124406,130,105,23,2,115,1.54
84912212,151,113,27,11,136,7.28
15316318,21,18,1,2,21,9.52
40491221,15,5,8,2,14,13.33
35850708,133,82,35,16,114,12.03
28208008,253,189,64,0,228,0.0
40919184,138,108,28,2,126,1.45
47462334,20,13,2,5,11,25.0
51395640,772,422,214,136,617,17.62
4179153,463,317,103,43,292,9.29
90183641,53,43,7,3,53,5.66
16142404,4,2,2,0,4,0.0
91440487,275,207,59,9,257,3.27
59152399,689,424,164,101,506,14.66
4622798,305,207,80,18,240,5.9
69208199,127,109,15,3,117,2.36
14644454,338,215,85,38,279,11.24
99348474,159,95,39,25,93,15.72
71451560,486,218,166,102,193,20.99
52331699,375,325,43,7,325,1.87
16151119,160,83,47,30,94,18.75
24964104,624,453,96,75,339,12.02
83171919,750,594,136,20,626,2.67
18750931,231,187,37,7,231,3.03
26397670,747,508,174,65,432,8.7
44944661,134,101,33,0,110,0.0
14503291,40,39,1,0,30,0.0
23794926,1490,1276,171,43,1317,2.89
10786036,26,19,5,2,26,7.69
63728564,176,128,43,5,166,2.84
91275015,13,10,3,0,13,0.0
24414410,67,58,6,3,63,4.48
72431857,106,80,20,6,93,5.66
43234307,1393,811,415,167,960,11.99
99548114,31,21,8,2,28,6.45
77255620,1052,545,322,185,473,17.59
73533951,132,74,44,14,97,10.61
78485852,43,32,9,2,25,4.65
76876190,191,120,52,19,115,9.95
8268212,1028,628,273,127,897,12.35
99421918,13,6,5,2,8,15.38
33023047,2677,1743,908,26,1270,0.97
15231320,130,109,20,1,124,0.77
22371910,250,182,60,8,177,3.2
52199611,370,237,129,4,195,1.08
77813743,77,49,23,5,75,6.49
46812845,352,223,95,34,308,9.66
1824054,138,104,23,11,113,7.97
92341290,48,33,14,1,34,2.08
38824554,621,352,174,95,440,15.3
28707448,100,94,6,0,93,0.0
4150173,62,39,18,5,56,8.06
66771867,487,278,167,42,197,8.62
14729748,323,246,59,18,134,5.57
29149403,885,574,221,90,745,10.17
90631212,244,194,41,9,213,3.69
20709258,40,33,6,1,39,2.5
13329243,69,36,20,13,48,18.84
52571183,48,42,6,0,46,0.0
91916559,488,347,125,16,325,3.28
91347620,19,17,2,0,17,0.0
65805925,43,32,9,2,32,4.65
84850843,41,34,6,1,36,2.44
57671934,36,21,15,0,33,0.0
27100769,145,92,35,18,117,12.41
84379834,8,8,0,0,8,0.0
56372258,1,1,0,0,1,0.0
93525100,539,348,177,14,283,2.6
76077632,100,72,21,7,45,7.0
80674317,223,126,67,30,162,13.45
61214011,91,65,25,1,75,1.1
21821751,152,111,25,16,143,10.53
39517538,232,167,61,4,91,1.72
68843141,1535,923,470,142,1068,9.25
78977097,135,81,44,10,111,7.41
79068252,174,125,39,10,123,5.75
69371642,146,125,17,4,82,2.74
3959342,116,74,35,7,76,6.03
56215843,501,376,103,22,346,4.39
79778144,120,72,35,13,109,10.83
96515456,3,3,0,0,3,0.0
99219026,80,56,18,6,80,7.5
31635007,32,20,11,1,26,3.12
12810220,1308,952,298,58,942,4.43
94666133,198,151,39,8,101,4.04
25921305,19,9,10,0,19,0.0
50020872,258,158,58,42,226,16.28
3772584,116,79,33,4,108,3.45
8928760,17,13,2,2,16,11.76
88491972,108,99,9,0,103,0.0
4220381,43,23,13,7,40,16.28
64608240,422,332,78,12,378,2.84
96073414,472,413,52,7,408,1.48
43001676,263,180,81,2,107,0.76
63256748,135,82,46,7,111,5.19
56829204,56,38,13,5,42,8.93
22088042,26,16,7,3,21,11.54
90172030,511,399,93,19,438,3.72
89497422,11,8,2,1,6,9.09
4646879,81,58,15,8,50,9.88
55523493,870,724,122,24,777,2.76
37489828,79,52,15,12,47,15.19
308655,45,25,14,6,31,13.33
48802285,114,103,11,0,106,0.0
63159905,30,27,2,1,30,3.33
43880364,91,44,31,16,55,17.58
43771093,277,177,56,44,195,15.88
25421394,521,398,107,16,361,3.07
96770636,58,42,11,5,51,8.62
20817137,124,90,20,14,73,11.29
42655074,128,102,25,1,122,0.78
95011988,106,61,32,13,87,12.26
8059148,144,97,38,9,97,6.25
70348733,6,5,1,0,4,0.0
75475560,115,86,19,10,90,8.7
42660924,242,175,62,5,164,2.07
2035113,116,71,29,16,112,13.79
86996973,48,39,8,1,37,2.08
60721449,135,116,17,2,119,1.48
55455807,30,22,6,2,27,6.67
93762139,147,84,38,25,94,17.01
12264173,87,50,31,6,69,6.9
52139568,56,48,6,2,53,3.57
5067116,22,8,8,6,17,27.27
37175543,84,56,21,7,75,8.33
52074395,36,23,7,6,22,16.67
53018823,783,523,200,60,651,7.66
64115588,900,648,228,24,601,2.67
42431718,150,89,38,23,97,15.33
87749919,148,110,27,11,99,7.43
24735785,44,25,12,7,32,15.91
79393945,44,21,17,6,40,13.64
14071807,392,235,114,43,261,10.97
37757495,648,577,58,13,583,2.01
44610525,807,423,211,173,405,21.44
53251944,85,68,15,2,73,2.35
58939778,460,250,139,71,262,15.43
10447921,15,8,7,0,13,0.0
39127910,62,51,11,0,55,0.0
66186862,531,482,46,3,517,0.56
86060518,92,62,25,5,88,5.43
47569542,73,51,21,1,71,1.37
19975507,213,186,26,1,183,0.47
62274523,649,389,170,90,408,13.87
23109281,228,138,63,27,201,11.84
2222266,188,140,36,12,168,6.38
18547917,132,66,37,29,88,21.97
27781712,97,87,7,3,94,3.09
21496033,67,51,10,6,62,8.96
68267074,88,64,17,7,54,7.95
40361880,133,81,30,22,102,16.54
2721555,103,87,12,4,98,3.88
33181965,155,104,34,17,100,10.97
16545977,331,227,81,23,283,6.95
3113548,351,222,96,33,179,9.4
96979340,21,16,2,3,21,14.29
66325639,102,89,11,2,65,1.96
29155652,189,127,50,12,143,6.35
8268887,70,45,19,6,44,8.57
92289547,50,27,16,7,35,14.0
89298849,68,54,14,0,65,0.0
33939580,50,45,5,0,46,0.0
5600677,16,10,5,1,16,6.25
73294067,402,236,113,53,293,13.18
52717189,47,28,13,6,42,12.77
87951211,74,45,19,10,72,13.51
85800296,107,74,32,1,106,0.93
11436951,26,23,3,0,26,0.0
32334597,174,132,27,15,164,8.62
15036558,124,95,19,10,106,8.06
94484439,743,498,177,68,507,9.15
80457198,272,219,39,14,193,5.15
33600532,120,71,28,21,90,17.5
85316473,48,27,20,1,33,2.08
97368190,554,375,154,25,294,4.51
76173162,593,407,148,38,451,6.41
49572064,345,207,99,39,254,11.3
55853312,432,334,74,24,398,5.56
99541197,466,349,94,23,335,4.94
69917807,14,14,0,0,13,0.0
70711013,377,321,48,8,353,2.12
33958481,464,255,145,64,328,13.79
47745653,193,119,45,29,92,15.03
17071441,67,42,18,7,53,10.45
97627641,150,89,51,10,95,6.67
40215164,389,237,112,40,233,10.28
46209866,24,17,7,0,20,0.0
48215908,610,546,59,5,563,0.82
55780871,95,48,33,14,58,14.74
92144478,375,210,113,52,249,13.87
13145724,312,256,44,12,287,3.85
86594339,193,141,29,23,134,11.92
31660906,140,89,40,11,127,7.86
48155391,240,152,77,11,148,4.58
7021057,93,68,21,4,90,4.3
89851333,58,34,18,6,51,10.34
99504987,464,361,77,26,400,5.6
88063261,53,45,5,3,43,5.66
58167695,140,93,42,5,114,3.57
21451819,279,194,56,29,242,10.39
34898612,281,211,60,10,148,3.56
47729357,358,228,109,21,308,5.87
76628291,269,153,81,35,198,13.01
96657998,1234,958,254,22,597,1.78
33042747,291,172,96,23,277,7.9
93815500,113,47,38,28,57,24.78
23797792,236,173,30,33,159,13.98
70486881,233,151,77,5,159,2.15
92107860,30,24,6,0,24,0.0
87519892,31,16,11,4,28,12.9
15148429,165,109,42,14,72,8.48
46849520,138,87,48,3,74,2.17
46128780,290,217,60,13,233,4.48
28756116,22,6,14,2,19,9.09
15818111,216,185,31,0,203,0.0
12245037,588,455,121,12,461,2.04
58122250,480,345,114,21,385,4.38
33020652,194,132,59,3,163,1.55
7072700,213,158,37,18,150,8.45
8841548,242,178,63,1,99,0.41
60170519,20,14,4,2,13,10.0
86334965,109,46,26,37,72,33.94
11093722,137,94,34,9,76,6.57
50487363,210,126,50,34,177,16.19
90965101,495,343,131,21,229,4.24
6579735,276,196,69,11,198,3.99
15771246,570,441,124,5,469,0.88
70818575,221,142,59,20,186,9.05
46544491,415,275,90,50,327,12.05
33849807,46,26,20,0,45,0.0
92768165,47,38,9,0,37,0.0
53186479,53,34,19,0,26,0.0
68931338,304,230,61,13,150,4.28
4019758,62,41,18,3,57,4.84
37384657,20,12,8,0,19,0.0
1158016,193,134,34,25,159,12.95
41244231,602,400,182,20,253,3.32
64675764,59,34,22,3,40,5.08
85509980,730,567,118,45,580,6.16
80890374,267,184,60,23,200,8.61
74636316,38,17,14,7,29,18.42
20882989,201,172,26,3,189,1.49
74455170,245,204,37,4,220,1.63
21139094,158,126,32,0,131,0.0
77225442,27,14,6,7,25,25.93
45654543,73,61,10,2,56,2.74
69380364,88,66,17,5,45,5.68
23057290,135,79,39,17,122,12.59
1957056,76,49,19,8,68,10.53
98542672,60,36,17,7,55,11.67
49618507,739,543,160,36,422,4.87
14600327,20,11,6,3,19,15.0
59737092,220,132,62,26,168,11.82
23196472,550,294,173,83,331,15.09
58175875,446,220,153,73,344,16.37
94807151,161,139,21,1,153,0.62
70639810,237,146,70,21,168,8.86
17386150,56,37,13,6,35,10.71
66044134,41,25,10,6,34,14.63
14056068,401,312,63,26,313,6.48
23524374,224,154,54,16,177,7.14
4295037,156,133,20,3,140,1.92
22175092,160,120,33,7,129,4.38
74862996,696,349,253,94,465,13.51
53532960,297,228,49,20,244,6.73
85496274,214,142,58,14,110,6.54
21313112,307,258,47,2,270,0.65
32657487,196,119,40,37,105,18.88
41838728,131,63,35,33,96,25.19
85262244,245,161,48,36,189,14.69
38676821,222,123,68,31,198,13.96
35662908,134,59,41,34,104,25.37
47416673,62,52,7,3,56,4.84
85298096,47,40,7,0,45,0.0
76896303,66,59,7,0,64,0.0
55403602,75,53,17,5,47,6.67
41607920,79,60,16,3,52,3.8
70550765,270,199,64,7,191,2.59
74726038,338,199,100,39,260,11.54
52258484,178,100,76,2,140,1.12
32739738,24,11,9,4,21,16.67
76578628,54,23,20,11,31,20.37
6347193,107,92,15,0,104,0.0
32703131,525,430,72,23,459,4.38
39879232,25,15,9,1,23,4.0
14257656,125,92,32,1,88,0.8
18187993,25,13,9,3,24,12.0
94059756,76,47,21,8,47,10.53
67503211,52,25,21,6,40,11.54
21583771,482,425,50,7,400,1.45
40480688,668,508,129,31,433,4.64
76273206,332,310,22,0,305,0.0
47866378,87,29,48,10,51,11.49
50594114,566,315,173,78,321,13.78
64992800,62,26,23,13,34,20.97
96009948,59,33,17,9,49,15.25
71995733,446,262,103,81,283,18.16
96397707,118,57,43,18,71,15.25
93750790,141,103,33,5,126,3.55
74331928,834,628,175,31,810,3.72
91241424,108,94,12,2,107,1.85
24886504,110,83,27,0,105,0.0
34154336,3,3,0,0,3,0.0
3565585,403,337,51,15,375,3.72
38284740,63,53,8,2,60,3.17
80829967,527,439,84,4,476,0.76
54111039,120,74,36,10,70,8.33
72190064,29,21,6,2,27,6.9
2565389,62,37,22,3,44,4.84
99185081,158,69,50,39,86,24.68
63250078,416,235,126,55,262,13.22
42459672,38,32,6,0,27,0.0
45981759,130,64,39,27,94,20.77
13056195,75,49,22,4,59,5.33
90989517,175,108,57,10,143,5.71
35631520,216,126,62,28,133,12.96
99806344,98,48,38,12,63,12.24
47333310,88,57,24,7,72,7.95
13015525,650,379,183,88,500,13.54
26329835,55,44,9,2,52,3.64
64443247,24,19,5,0,23,0.0
11177625,75,43,20,12,43,16.0
8545872,61,45,15,1,41,1.64
13041331,118,95,22,1,102,0.85
47907750,140,89,41,10,113,7.14
20872502,216,162,47,7,141,3.24
63216369,54,28,19,7,47,12.96
3251826,134,57,52,25,75,18.66
11495687,179,120,43,16,156,8.94
63696929,365,271,93,1,221,0.27
37536439,36,21,13,2,30,5.56
45541675,26,18,7,1,23,3.85
85668264,54,43,9,2,53,3.7
10183321,98,60,26,12,29,12.24
65420542,192,154,30,8,185,4.17
10179959,89,37,36,16,62,17.98
75607731,129,104,25,0,101,0.0
56249876,79,54,19,6,62,7.59
29846752,76,46,22,8,71,10.53
79503840,171,118,40,13,107,7.6
45407839,301,259,37,5,271,1.66
1980249,453,280,166,7,299,1.55
47221264,23,15,8,0,22,0.0
42435620,47,17,18,12,32,25.53
6011045,487,344,116,27,397,5.54
48591967,218,120,82,16,153,7.34
12210640,115,89,25,1,100,0.87
61302480,121,72,32,17,67,14.05
36203298,5,3,2,0,4,0.0
56872973,344,226,105,13,248,3.78
53312317,7,5,2,0,7,0.0
28448742,112,78,24,10,64,8.93
76760671,406,297,99,10,211,2.46
13867231,78,55,18,5,37,6.41
93977853,34,22,11,1,30,2.94
89719270,4,4,0,0,4,0.0
10405752,52,44,8,0,52,0.0
3835490,58,49,8,1,32,1.72
68953453,271,205,48,18,153,6.64
47417169,223,158,64,1,178,0.45
36818662,95,70,19,6,91,6.32
93623029,6,5,1,0,6,0.0
42758689,700,626,68,6,620,0.86
18060951,218,160,40,18,197,8.26
86093676,223,170,53,0,169,0.0
46996509,84,59,21,4,60,4.76
73042791,31,26,4,1,29,3.23
11350368,107,63,29,15,69,14.02
7566888,201,156,26,19,150,9.45
29006964,33,19,13,1,29,3.03
96841979,755,544,160,51,655,6.75
96704617,65,59,5,1,50,1.54
44523936,6,5,1,0,5,0.0
30715042,35,20,10,5,31,14.29
74255743,4,3,0,1,4,25.0
47370096,71,41,21,9,62,12.68
61445648,7,6,1,0,6,0.0
41269768,507,343,136,28,386,5.52
69944498,135,112,21,2,97,1.48
23944182,325,171,99,55,210,16.92
68784946,99,43,35,21,72,21.21
89054748,416,290,82,44,319,10.58
17941177,175,96,45,34,145,19.43
91023095,332,176,102,54,213,16.27
17119607,180,131,39,10,147,5.56
10294982,81,33,25,23,52,28.4
28352634,174,120,39,15,144,8.62
22461460,68,48,13,7,66,10.29
24034610,187,115,48,24,137,12.83
26211155,180,108,49,23,131,12.78
41104195,409,286,110,13,338,3.18
78413127,145,84,51,10,95,6.9
44960855,202,150,41,11,164,5.45
97759187,14,8,4,2,12,14.29
88352487,150,97,51,2,108,1.33
66895855,155,62,50,43,51,27.74
8112647,119,101,17,1,115,0.84
72835608,478,296,107,75,298,15.69
3750833,283,177,77,29,262,10.25
8089242,376,269,80,27,285,7.18
95068948,204,117,62,25,139,12.25
81938726,53,28,16,9,31,16.98
78474418,53,28,18,7,33,13.21
16889993,330,277,48,5,296,1.52
96704406,164,81,41,42,100,25.61
70737794,45,31,11,3,36,6.67
42786160,395,246,104,45,335,11.39
1143505,140,108,24,8,87,5.71
16266955,34,25,8,1,23,2.94
70012663,39,31,6,2,36,5.13
23842639,21,11,7,3,20,14.29
29421017,342,223,76,43,289,12.57
3994767,453,309,137,7,319,1.55
97463535,101,81,18,2,91,1.98
41651107,127,107,17,3,119,2.36
68309493,34,13,15,6,30,17.65
45112970,694,581,98,15,626,2.16
71649662,346,234,92,20,292,5.78
69463344,248,181,62,5,221,2.02
38784108,61,49,8,4,51,6.56
69151849,22,10,11,1,20,4.55
8303927,280,143,102,35,180,12.5
89678431,42,26,15,1,36,2.38
91553326,118,70,31,17,113,14.41
97280782,295,233,62,0,233,0.0
609853,46,35,7,4,44,8.7
72135638,83,50,20,13,73,15.66
38734274,77,43,22,12,61,15.58
86506831,47,39,7,1,46,2.13
49221437,153,111,40,2,129,1.31
89850585,220,95,71,54,137,24.55
52457206,64,42,19,3,47,4.69
69857404,24,17,5,2,20,8.33
3892387,184,140,33,11,176,5.98
663833,169,142,25,2,93,1.18
46992731,12,8,2,2,10,16.67
16893312,234,154,57,23,210,9.83
95857956,44,33,11,0,41,0.0
25771664,74,47,19,8,48,10.81
82414800,355,265,88,2,155,0.56
62897298,10,4,5,1,10,10.0
44162082,38,26,12,0,32,0.0
27259769,77,45,18,14,61,18.18
29545026,145,107,34,4,122,2.76
45024549,203,115,61,27,161,13.3
70579420,29,18,9,2,24,6.9
10813437,4,4,0,0,4,0.0
53068061,51,37,12,2,40,3.92
98469105,271,200,64,7,232,2.58
55532683,7,7,0,0,7,0.0
95151198,13,12,1,0,11,0.0
59659472,142,96,26,20,94,14.08
79453308,314,247,59,8,301,2.55
5472081,48,34,7,7,38,14.58
84391388,106,81,22,3,82,2.83
67997138,39,27,9,3,36,7.69
25642117,66,47,18,1,56,1.52
15039624,136,72,54,10,107,7.35
81734708,198,131,59,8,136,4.04
92643096,14,7,5,2,11,14.29
96480712,66,39,21,6,41,9.09
19773123,3,2,1,0,3,0.0
88698938,152,113,38,1,130,0.66
72367717,315,289,24,2,297,0.63
58897565,10,7,3,0,10,0.0
71784186,8,5,2,1,8,12.5
90993554,121,100,21,0,90,0.0
12709590,130,111,19,0,121,0.0
98243392,1,0,1,0,1,0.0
23848384,56,21,15,20,32,35.71
34688471,6,4,2,0,6,0.0
94776377,5,3,1,1,5,20.0
77826745,160,93,43,24,126,15.0
15160354,254,143,86,25,192,9.84
86960403,512,419,68,25,481,4.88
54700437,52,31,14,7,31,13.46
47959914,33,10,22,1,23,3.03
45106030,23,14,7,2,20,8.7
55517175,96,68,23,5,46,5.21
32381902,4,4,0,0,4,0.0
60782419,30,25,3,2,29,6.67
1932017,34,27,6,1,21,2.94
20160672,134,88,31,15,113,11.19
16818035,54,31,18,5,47,9.26
65606675,93,51,33,9,66,9.68
48302558,630,394,165,71,537,11.27
60447058,10,6,4,0,10,0.0
13788531,2,2,0,0,2,0.0
77509856,189,145,32,12,150,6.35
23126453,142,82,48,12,90,8.45
89073471,645,471,155,19,549,2.95
52398879,51,36,12,3,46,5.88
56042730,547,386,126,35,457,6.4
93951133,75,37,16,22,54,29.33
84573096,25,10,8,7,20,28.0
808378,9,7,1,1,9,11.11
99688335,98,85,13,0,94,0.0
85581312,119,86,22,11,83,9.24
23735961,303,185,95,23,190,7.59
75366189,166,123,34,9,138,5.42
48337914,440,266,150,24,278,5.45
14649435,1120,705,383,32,746,2.86
45623919,46,36,9,1,25,2.17
82879336,79,56,14,9,67,11.39
46995164,154,86,52,16,118,10.39
41516095,20,11,8,1,18,5.0
35047102,114,85,21,8,97,7.02
33003351,30,19,8,3,25,10.0
80704093,194,150,43,1,145,0.52
11300604,92,57,24,11,83,11.96
81143021,117,103,11,3,83,2.56
19042521,18,14,2,2,15,11.11
81571389,17,13,2,2,11,11.76
22859637,44,22,15,7,35,15.91
69807684,136,76,46,14,98,10.29
85278679,78,69,9,0,76,0.0
1876292,51,29,10,12,45,23.53
86143150,265,191,67,7,185,2.64
60894703,145,108,26,11,136,7.59
2702285,74,44,19,11,61,14.86
74091086,2,1,1,0,2,0.0
8366337,88,69,11,8,83,9.09
13366936,306,196,94,16,193,5.23
78337739,173,143,26,4,98,2.31
22451312,25,16,7,2,24,8.0
36933694,118,92,24,2,110,1.69
23604638,72,52,20,0,69,0.0
93361085,124,97,26,1,107,0.81
30162197,198,136,62,0,168,0.0
71489805,84,57,15,12,62,14.29
64475777,19,13,4,2,17,10.53
88493844,12,8,3,1,12,8.33
80105920,1,0,1,0,1,0.0
97013513,92,52,31,9,71,9.78
35278600,29,23,5,1,17,3.45
9933294,74,64,6,4,72,5.41
70837001,371,287,70,14,343,3.77
27021555,74,74,0,0,45,0.0
3483426,6,6,0,0,6,0.0
90380851,320,254,44,22,313,6.88
58940476,71,40,19,12,42,16.9
3006672,1,1,0,0,1,0.0
21455884,3,2,0,1,3,33.33
81736218,31,16,12,3,27,9.68
10362769,82,46,20,16,41,19.51
467637,194,134,50,10,130,5.15
79294775,4,3,1,0,4,0.0
62241484,61,48,9,4,60,6.56
15059532,2,1,1,0,2,0.0
11952707,273,165,61,47,236,17.22
29138740,89,66,23,0,81,0.0
44713089,103,81,19,3,88,2.91
45641666,22,16,4,2,19,9.09
10105618,102,52,41,9,58,8.82
96608802,80,74,5,1,77,1.25
60656678,132,86,30,16,78,12.12
40082737,29,17,11,1,25,3.45
98505814,66,59,5,2,53,3.03
1557085,58,30,16,12,35,20.69
71214558,22,15,4,3,17,13.64
84056031,42,24,7,11,42,26.19
59299099,226,173,35,18,199,7.96
9511451,42,32,10,0,40,0.0
74319511,138,124,12,2,123,1.45
82985516,53,35,13,5,41,9.43
53761177,13,9,2,2,13,15.38
31704593,11,9,1,1,11,9.09
96290623,19,7,8,4,14,21.05
39484476,10,7,3,0,10,0.0
53357194,34,25,9,0,32,0.0
39806603,37,20,10,7,26,18.92
99558192,280,231,49,0,253,0.0
50485737,168,96,46,26,114,15.48
75929435,193,79,61,53,69,27.46
7142924,163,124,36,3,121,1.84
